0;0.000;1.000
10;0.174;0.985
20;0.342;0.940
30;0.500;0.866
40;0.643;0.766
50;0.766;0.643
60;0.866;0.500
70;0.940;0.342
80;0.985;0.174
90;1.000;0.000
100;0.985;-0.174
110;0.940;-0.342
120;0.866;-0.500
130;0.766;-0.643
140;0.643;-0.766
150;0.500;-0.866
160;0.342;-0.940
170;0.174;-0.985
180;0.000;-1.000
190;-0.174;-0.985
200;-0.342;-0.940
210;-0.500;-0.866
220;-0.643;-0.766
230;-0.766;-0.643
240;-0.866;-0.500
250;-0.940;-0.342
260;-0.985;-0.174
270;-1.000;-0.000
280;-0.985;0.174
290;-0.940;0.342
300;-0.866;0.500
310;-0.766;0.643
320;-0.643;0.766
330;-0.500;0.866
340;-0.342;0.940
350;-0.174;0.985
360;-0.000;1.000
